baller_id,Name,Body,Team,Gender,Role,Number,Dunks,Shooting,Playmaking,Defense,Image,Skill Rank,Trait Rank,Combo Rank
2623,Ballerz #2623,Human I,Seattle Scream,M,Player,87,99,93,96,99,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9453.png,1,555,1
518,Ballerz #518,Human IV,Portland Bats,M,Player,29,94,98,86,98,https://images.ongaia.com/ipfs/QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/518.png,2,4110,26
2077,Hair Jordan,Human III,Delaware Horsemen,M,Player,6,98,98,79,98,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1867.png,3,1457,8
7507,JPEGa Stojaković,Human V,St. Louis Orcs,M,Player,72,87,99,97,89,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5426.png,4,5964,76
5275,White Mamba,Human III,Austin Machines,M,Player,74,90,93,95,95,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/7272.png,5,9034,236
4187,Little Buck Williams,Human I,Michigan Colliders,M,Player,8,93,93,92,95,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8033.png,6,3365,39
1826,Ballerz #1826,Human IV,D.C. Dobermans,M,Player,4,94,92,93,94,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1547.png,7,6155,95
9751,Ballerz #9751,Human II,Phoenix Skulls,M,Player,46,83,95,94,99,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9774.png,8,9515,294
4025,Ballerz #4025,Human V,Seattle Scream,M,Player,39,99,93,86,93,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8788.png,9,8310,180
7514,Ballerz #7514,Human IV,Los Angeles Mammoths,M,Captain,5,87,98,89,95,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/8950.png,10,3077,47
1100,Ballerz #1100,Human V,Phoenix Skulls,M,Player,51,96,91,89,93,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/1153.png,11,3360,59
6965,The Beast,Human II,Delaware Horsemen,M,Player,45,80,98,91,98,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6067.png,12,2133,37
8835,Ballerz #8835,Human II,Houston Rogues,W,Player,0,90,85,95,98,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5189.png,13,4603,96
3717,Ballerz #3717,Human V,Phoenix Skulls,M,Player,14,98,89,94,87,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6168.png,14,147,2
952,Ballerz #952,Human II,Las Vegas Scorpions,M,Player,20,94,84,90,99,https://images.ongaia.com/ipfs/QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/952.png,15,4831,120
458,Ballerz #458,Human II,Portland Bats,M,Player,18,84,99,85,98,https://images.ongaia.com/ipfs/QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/458.png,16,8721,317
