datetime,baller_id,image,price,combo,rarity,skill,team,role,timestamp,time,seller,transaction_id
2021-12-30 09:03:38+00:00,5225,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6298.png,4000.0,1213,2729,1144,Chicago Squid,Player,1640855018,9 minutes ago,0xb79373ccc82409cc,51efb3b7731f13b21c9178615b598e374ffefb11ad354a1fd49c0589b0d75990
2021-12-30 09:02:53+00:00,3453,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/7993.png,1800.0,5553,2897,7776,Nashville Miracle,Player,1640854973,10 minutes ago,0xb79373ccc82409cc,5d590bc70ca3ff42be03a1669d8d7d380313f6f4e42e40b2f2205fbd74778ece
2021-12-30 08:55:19+00:00,6112,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6508.png,2850.0,3501,8559,878,San Jose Sirens,Player,1640854519,18 minutes ago,0x0a36243e0273f50c,8c57509ddb8d8fce3fe49ae51d8e409078329ccba6a3f3bf7beb06d2cf0fa2c3
2021-12-30 08:46:09+00:00,9015,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6214.png,50000.0,3075,6987,1151,St. Louis Orcs,Player,1640853969,27 minutes ago,0xabeb596dcfeb8a00,61bb3946ffff2e00decf3e20305e179db73e9c55117ee734bd32e3b1c8d0e054
2021-12-30 08:45:29+00:00,467,https://images.ongaia.com/ipfs/QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/467.png,2500.0,7153,7202,5567,Las Vegas Scorpions,Player,1640853929,28 minutes ago,0x3fe9670b02c8f635,3a2539b024df9f33a1aa013ca8bf9733a5d3c3d63ed1770598fb30f771c7aa20
2021-12-30 08:44:44+00:00,1037,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/2199.png,3500.0,5112,4562,4929,Portland Bats,Player,1640853884,29 minutes ago,0x3fe9670b02c8f635,ca013cd5e1bc7bf14ce02ec71f15bd71eaeee90ccdbd3fc1c5f0ee9912c1fe8c
2021-12-30 08:43:49+00:00,7521,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9139.png,3200.0,2323,7045,662,St. Louis Orcs,Player,1640853829,30 minutes ago,0x0a36243e0273f50c,095071bda21727b3c3853fa1c71ef29c7712595d436a4cc098cebcfeb32b32e9
2021-12-30 08:39:15+00:00,481,https://images.ongaia.com/ipfs/QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/481.png,1599.0,7254,6847,5952,San Diego Keepers,Player,1640853555,34 minutes ago,0xd4d19490bd4f4c4d,9cf44dde3c54be6f5412c11b35740d599f53289f179e7971b02373c3325a2864
2021-12-30 08:36:18+00:00,8237,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/7628.png,2969.0,5344,7562,2946,D.C. Dobermans,Player,1640853378,37 minutes ago,0x24fdd433d269ba38,12e9b6f663f3a1e0ec64c7506fb5393c1dcb330372bd2971d9d4890a8e97e472
2021-12-30 08:35:08+00:00,432,https://images.ongaia.com/ipfs/QmZ6dDfmAzbKq7V37DyUeB8uxbn7yHA4LtP1tyFCwMkF3x/432.png,432000.0,6812,8922,3120,Las Vegas Scorpions,Player,1640853308,38 minutes ago,0xf27c7547a2d1d14e,02d66bf8e85600d3955691d45e93d8fa3fe75757b92ef7c2203817d42c0ea00f
