datetime,baller_id,image,price,combo,rarity,skill,team,role,timestamp,time,buyer,seller,transaction_id
2022-01-07 09:25:35+00:00,3710,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9045.png,1500.0,3874,4327,3470,Sierra Spiders,Player,1641547535,23 minutes ago,0x7048edde593b978e,0xaee0f4d9cc28f53f,bc57b5ac44967680bdd8d85199adf1436ff20b18640ae9455f725d9cfdbc57fb
2022-01-07 09:24:47+00:00,7939,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6141.png,1500.0,6461,9817,1359,Orlando Freeze,Player,1641547487,24 minutes ago,0x7048edde593b978e,0xaee0f4d9cc28f53f,308397d1bd4e48b7ca6361dfc1a8f23d8e365804416f4065317bda836056c9a1
2022-01-07 09:20:14+00:00,8042,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/9203.png,1500.0,5971,8283,3053,New Orleans Giants,Player,1641547214,28 minutes ago,0x7103303e3612ce67,0xaee0f4d9cc28f53f,7896077a4acfa2dd0cbfd7bc0ce3405e33b91706481d78820440adbb30311d7d
2022-01-07 09:16:45+00:00,8870,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4516.png,1500.0,3878,2990,5308,San Francisco Surge,Player,1641547005,32 minutes ago,0x75e8e1db44c0ff26,0xaee0f4d9cc28f53f,b7f5ec0e650c6b879c138bc14bc4c8792f4926cb6756b3754de6d4cf01ed120e
2022-01-07 09:14:09+00:00,5153,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5732.png,1500.0,4757,1180,9076,Houston Rogues,Player,1641546849,34 minutes ago,0x7048edde593b978e,0xaee0f4d9cc28f53f,af18861d3dab8c222a1ed6b2b9ce2b9e913545eff6734e0116c32c1d4f750193
2022-01-07 07:33:18+00:00,6577,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4243.png,1900.0,3007,1469,6285,Los Angeles Knives,Player,1641540798,2 hours ago,0xd14b3a894077fc35,0xd4100270a1a94ee1,03352409a112cd953647e8ae3b874148e462112eaa8b2e05ac1cbdaaa84428db
2022-01-07 07:29:03+00:00,6952,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6138.png,1850.0,5600,7762,3098,Pennsylvania Fangs,Player,1641540543,2 hours ago,0x9aaa149bdcf198e2,0xf3503d22db318314,4a4c25666a68fcc7ef9adf082e0b68cbc82015aaef826f16906dd70b5e8c9b7f
2022-01-07 07:25:47+00:00,9366,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/6551.png,1850.0,6224,4619,6451,Toronto Spears,Player,1641540347,2 hours ago,0x18fe613537929a79,0x355f14fb1a6a1399,4e494cf611b09a3886e20c5624da577b822e8dd5a727353b7c5305a380975565
2022-01-07 07:19:17+00:00,4135,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/5327.png,1700.0,8828,7957,7890,Tallahassee Tarantulas,Player,1641539957,2 hours ago,0xbe0f74155cff6f43,0x935480c3c234e4b2,18249da87fee3241d369f97566c9dc54eb03825bac56e1f273fa2101964f4a3f
2022-01-07 06:44:17+00:00,3924,https://images.ongaia.com/ipfs/QmaUhmEgy5Znagz2ayY2uyn5Xdbsvzm8PkBM1GghtsXihv/4179.png,1675.0,7075,5743,6490,Boston Rulers,Player,1641537857,3 hours ago,0x15d93f799d560fcc,0xa793b2dd2f5f51ef,235cbfd39cd7bef1f75ce5ee7100a2fe0d0be823445fe425ca9a4b1ce51b015f
