,category,trait,count,rarity_score
0,Earrings,Big Gold,355,70.1338309859155
1,Earrings,Brickpods,100,248.9751
2,Earrings,Diamond Stud,411,60.57788321167883
3,Earrings,Gold,427,58.30798594847776
4,Earrings,None,8804,2.8279770558836894
5,Eyewear,Anaglyph,90,72.79973684210526
6,Eyewear,Blue Bat,269,24.35678927802778
7,Eyewear,Blue Butterfly,299,21.912964266854427
8,Eyewear,Blue Panda,284,23.07033914010378
9,Eyewear,Blue Squircular,160,40.949851973684204
10,Eyewear,Brown Bat,266,24.63148990898298
11,Eyewear,Brown Butterfly,302,21.695285813872427
12,Eyewear,Brown Panda,297,22.06052631578947
13,Eyewear,Brown Squircular,160,40.949851973684204
14,Eyewear,Clear Hijack,20,327.59881578947363
15,Eyewear,Drip Hijack,30,218.39921052631578
16,Eyewear,Monocle,160,40.949851973684204
17,Eyewear,None,6518,1.0052126903635277
18,Eyewear,Orange Bat,258,25.395257037943693
19,Eyewear,Orange Butterfly,336,19.499929511278197
20,Eyewear,Orange Panda,288,22.749917763157892
21,Eyewear,Orange Squircular,160,40.949851973684204
22,Eyewear,Patch,150,43.679842105263155
23,Eyewear,Rainbow Hijack,10,655.1976315789473
24,Facial Hair,Beard,750,23.711914285714286
25,Facial Hair,Big beard,750,23.711914285714286
26,Facial Hair,Loopy,997,17.8374480584611
27,Facial Hair,Loopy Big Beard,250,71.13574285714286
28,Facial Hair,Loopy beard,250,71.13574285714286
29,Facial Hair,Moustache,500,35.56787142857143
30,Facial Hair,None,6500,2.73599010989011
31,Hair,Afro,100,62.243775
32,Hair,Back Tennis Ball,548,11.358353102189781
33,Hair,Bob,545,11.42087614678899
34,Hair,Bouncy,540,11.526625
35,Hair,Buzz,723,8.609097510373445
36,Hair,Clear Hijack,20,311.21887499999997
37,Hair,Cornrows,655,9.50286641221374
38,Hair,Drip Hijack,30,207.47925
39,Hair,Fringe,587,10.603709540034071
40,Hair,Long Braids,655,9.50286641221374
41,Hair,Mohawk,675,9.2213
42,Hair,None,198,31.43625
43,Hair,Parted,888,7.009434121621622
44,Hair,Parted Long,546,11.399958791208793
45,Hair,Parted Medium,570,10.919960526315789
